bank,bank_type,scheme_name,interest_rate,rate_type,max_loan_amount,collateral_required,processing_fee_percent,moratorium_months,best_for,study_destination,source_url,source_type,date_collected,Source Link,total_cost_percent,rate_category,collateral_needed,is_official
SBI,Public Sector,SBI Scholar Loan (IIMs/IITs),7.05,Floating,5000000,No (up to 7.5L),0.0,12,Top 10 IIMs & IITs,India,https://www.fincash.com/l/loan/sbi-scholar-loan,Third-Party Aggregator,2026-09-13,,7.05,Excellent (<7.5%),No,No
SBI,Public Sector,"SBI Global Ed-Vantage (Abroad, Female)",8.65,Floating,15000000,Yes,0.5,12,Abroad Studies (Female),Abroad,https://www.gyandhan.com/sbi-education-loan,Third-Party Aggregator,2026-09-13,,9.15,Good (7.5-9%),Yes,No
SBI,Public Sector,"SBI Global Ed-Vantage (Abroad, Male)",9.15,Floating,15000000,Yes,0.5,12,Abroad Studies (Male),Abroad,https://www.gyandhan.com/sbi-education-loan,Third-Party Aggregator,2026-09-13,,9.65,Moderate (9-11%),Yes,No
SBI,Public Sector,PM-Vidyalaxmi (Utkarsh),6.9,Floating,1000000,No,0.0,12,Meritorious Students (EWS),India,https://ndtv.bankbazaar.com/sbi-education-loan.html,Third-Party Aggregator,2026-09-13,,6.9,Excellent (<7.5%),No,No
HDFC Bank,Private Sector,HDFC Education Loan (Domestic),10.5,Floating,7500000,No (up to 7.5L),0.0,12,Domestic Students,India,https://www.hdfc.bank.in/education-loan/interest-rates-and-charges,Official Bank Website,2026-09-13,,10.5,Moderate (9-11%),No,Yes
HDFC Bank,Private Sector,HDFC Education Loan (Abroad),8.64,Floating,15000000,Yes,0.5,12,Abroad Studies,Abroad,https://www.propelld.com/blog/hdfc-education-loan,Third-Party Aggregator,2026-09-13,,9.14,Good (7.5-9%),Yes,No
ICICI Bank,Private Sector,ICICI Secured Loan (Domestic Premier),8.5,Floating,10000000,Yes,1.5,12,Select Domestic Institutes,India,https://www.icicibank.com/personal-banking/loans/education-loan/interest-rates,Official Bank Website,2026-09-13,,10.0,Good (7.5-9%),Yes,Yes
ICICI Bank,Private Sector,ICICI Secured Loan (Abroad),9.0,Floating,30000000,Yes,1.5,12,Abroad Studies (Secured),Abroad,https://www.icicibank.com/personal-banking/loans/education-loan/interest-rates,Official Bank Website,2026-09-13,,10.5,Moderate (9-11%),Yes,Yes
ICICI Bank,Private Sector,ICICI Unsecured Loan (Abroad),10.25,Floating,5000000,No,1.5,12,Abroad Studies (No Collateral),Abroad,https://www.icicibank.com/personal-banking/loans/education-loan/interest-rates,Official Bank Website,2026-09-13,,11.75,Moderate (9-11%),No,Yes
Axis Bank,Private Sector,Axis Education Loan (Domestic Secured),7.45,Floating,7500000,Yes,2.0,12,Secured Loans,India,https://www.axis.bank.in/loans/education-loan/interest-rates-charges,Third-Party Aggregator (BankBazaar),2026-09-13,,9.45,Excellent (<7.5%),Yes,No
Axis Bank,Private Sector,Axis Education Loan (Abroad Unsecured),10.81,Floating,7500000,No (up to 40L),2.0,12,Abroad Studies,Abroad,https://ndtv.in/business-news/education-loan-interest-rates-compared,News Article (NDTV),2026-09-13,,12.81,Moderate (9-11%),No,No
Bank of Baroda,Public Sector,Baroda Scholar (Top IIMs/IITs),6.85,Floating,4000000,No (up to 7.5L),1.0,12,Top 10 IIMs & IITs,India,https://bankofbaroda.bank.in/loans/education-loan/baroda-education-loan-to-students-of-premier-institutions,Official Bank Website,2026-09-13,,7.85,Excellent (<7.5%),No,Yes
Bank of Baroda,Public Sector,Baroda Gyan (AA Category),7.2,Floating,3000000,No (up to 7.5L),1.0,12,AA Category Institutions,India,https://bankofbaroda.bank.in/loans/education-loan/baroda-education-loan-to-students-of-premier-institutions,Official Bank Website,2026-09-13,,8.2,Excellent (<7.5%),No,Yes
Bank of Baroda,Public Sector,Baroda Education Loan (General),8.55,Floating,15000000,Yes,1.0,12,General Students,India,https://bankofbaroda.bank.in/loans/education-loan,Official Bank Website,2026-09-13,,9.55,Good (7.5-9%),Yes,Yes
